Intensity,MeanTime
4,19152.225376482762
5,17978.975259605708
6,16696.346967316436
7,15225.160777614421
8,13833.370765893325
9,12613.198868185398
10,11107.605151530654
11,9763.505398607094
12,8337.658060042746
13,7036.414076382063
14,5688.502137674401
15,4138.01231675567
16,2745.6391638369473
17,1338.3679972436605
18,91.9494043074822
19,36.93975950313089
