Time,MeanTimeInSystem
0.0,0.0
29226.08549694956,6594.063503840906
53322.98837299916,11944.299742929037
8055.0043445329675,1835.6740461644763
28539.354055098138,6445.342237797631
1875.3222523062354,429.69868845394404
47976.021300322514,10757.766463577755
54759.12965564831,12267.18767929676
70914.04504886406,15890.1418627674
90837.41663101011,20320.705202134806
84813.55503733942,18980.643121053658
47271.42925639534,10609.824250076757
18411.758583119667,4195.254179953637
24381.00034142483,5524.055707746454
36270.67961086795,8152.786840117821
15273.382514611965,3489.5162111655577
26883.328153789415,6083.054856971791
82383.37125484916,18444.947323140997
29847.478511269182,6734.622789960392
29133.501923483018,6577.968574554973
90783.34930419795,20312.759622426394
4653.963799928959,1068.4372188419225
8208.913498597754,1868.7077872509562
29151.750467941692,6581.993220421724
87624.84118515669,19615.649786064165
87981.09515500064,19683.383437890992
56796.036263380905,12716.605989159285
35571.5504511665,7997.406787108951
46500.823464597925,10430.367598400178
99780.74558157209,22314.497701217555
6558.895790669359,1502.0838991964008
8196.929052133914,1864.551810742474
13659.260444519792,3112.413457577751
80499.941823685,18033.64302081486
82380.37125484916,18444.947323140997
22980.941625761174,5217.073052388085
60753.050101132205,13607.509994046497
11955.562757321306,2730.0627945329666
41544.430495171524,9337.435258504725
74922.94900765017,16784.031928556666
9813.262928104934,2236.9124286209794
77817.44720206004,17433.786070004524
14265.644020134312,3252.334934938823
3756.815057548462,857.8736075933747
19659.602928374323,4478.358446934551
67389.65677112804,15107.513621165926
84267.47598534772,18860.716709683515
10224.889619666856,2331.4666366601414
43653.418478466825,9799.949445398137
12975.197308521012,2959.7209498947095
92751.52104420388,20745.91566126189
57762.4734466422,12927.384128652937
68436.66041769448,15340.687340134518
47421.94942177577,10633.769165577136
32496.083212002937,7325.192741489808
76224.2981050971,17064.896073983018
14382.90836627162,3281.0758113966904
19641.713434940226,4474.396218167618
8727.383750359351,1992.1144845514746
64692.74124464097,14498.52667105913
49653.021120703,11131.058559437355
39393.959911128644,8855.35258971785
82128.62317844173,18389.015494499898
17151.681652038642,3906.3242601730526
18141.16285898868,4131.257889071309
89064.38071433187,19926.46222362432
60747.99927524453,13607.509994046497
74925.94900765017,16784.031928556666
82605.38607909947,18496.872414645088
72195.87919349124,16178.6975898162
92388.33840455474,20670.30051280654
18540.978903828127,4223.252902836387
68439.66041769448,15344.704951061627
11988.18933160171,2738.2949072284327
76227.2981050971,17068.913897050414
17955.660928253987,4091.160826650789
3954.1696946032644,907.7730495323871
12801.559086568797,2926.996045809825
73380.34399692646,16435.04071243362
12216.161523007064,2787.5991880835977
25386.1544617196,5745.241055084965
55962.975472757236,12529.963550710332
82131.62317844173,18393.01224618751
34470.74805349915,7754.05806784954
47268.42925639534,10601.85591587865
26706.39350598585,6046.820995637236
4248.910185954036,976.9724127761635
44094.733550545716,9899.610534430441
63942.033095581966,14324.933214047835
85353.49324960358,19104.49020965359
24633.530224772123,5580.421908011659
5451.571335943488,1251.65472862111
35568.5504511665,7997.406787108951
46503.823464597925,10434.364467295158
48126.690062365866,10789.765820828916
91959.17483472783,20570.86635430393
60882.843961588194,13631.74249523615
18528.632867538014,4219.241839496671
29274.259070100557,6610.1698841553125
33969.19595245168,7650.168498952259
68280.53461089062,15312.585417743589
80241.43116063398,17965.67736257949
47139.444483274994,10573.97898097555
11484.813711319845,2622.0200250577245
44508.98399866931,9983.352483559403
23958.47059702463,5431.720395828045
27018.070182173597,6111.278578957215
22101.239642384695,5021.899780914121
59196.44599253387,13251.78154703959
