Time,MeanTimeInSystem
0.0,0.0
7014.099089379257,1626.5802536775607
6198.050247554601,1438.5597812047206
4770.298739902863,1109.997426984521
7581.688566839527,1754.493247353105
426.1108382942597,122.65859402356456
8982.272698076522,2069.9556032122473
1257.486714235062,303.9550098375013
4548.267919898617,1052.153515993608
9693.3073122429,2230.263076223666
2343.827614612184,548.616636404275
6192.162785149367,1438.5597812047206
8931.477016690898,2057.8550004913295
4677.291329413989,1085.454171885847
5457.575075339787,1271.1950275685297
1944.597297236964,460.48619631029777
9243.221983781412,2126.1732546018725
6525.325382519909,1509.8340357578538
2697.3248810037985,632.5106594708316
3633.2211040964235,844.9398787857766
9849.376236016362,2265.755986595931
5364.085856979254,1246.1725472857402
5799.426282724167,1346.1255699676867
5787.426933774833,1337.778553819834
3852.5292079036385,894.421753275507
8685.259039241102,2001.0328808829443
4698.433936196506,1097.7087603861671
7629.424498592976,1766.8911311843117
7812.94482014232,1811.9333905455278
3759.285408527476,873.6881612994714
1365.6245866602624,320.12584275416555
2664.5766316454324,624.1719999022877
6495.566520255153,1501.3799194022156
7611.828902969517,1758.6518629622844
9324.911630846034,2142.247113385372
8709.85834625566,2005.0922254554307
6630.997024952315,1534.9448995068653
6747.005887378548,1560.0484725453039
8307.277860839764,1925.0541863847782
3831.1113689909157,890.2524362406251
3387.9572424819526,791.2247940278056
4566.147437811045,1056.3698018032485
9231.95092697839,2122.1454399897293
9621.555459392732,2210.3915953122846
5127.7989781049255,1192.6931746380758
8538.856951581995,1972.9151696615902
9408.196112179492,2166.3203316057543
1215.4821571544574,291.7853901567167
6870.944628128138,1593.4301896393545
8928.015235422023,2057.8550004913295
4353.055696236897,1014.595010615943
9195.916759124582,2118.125348073107
6015.9471582714295,1392.06444068005
4977.399679204643,1155.62066621876
849.2176728745129,210.126517392221
2496.4572704405814,582.273413613397
4884.657546114301,1134.90137509805
9876.32378744489,2265.755986595931
3600.8238844160514,840.8139220546984
3942.873770675117,915.1181967014799
4161.191141353751,964.6482534279792
3819.476891324524,886.104308145498
8694.25757187027,2001.0328808829443
108.16180519837637,50.86209405494556
1872.9271677811766,435.5627584985982
1614.9806437584862,377.4481591796346
9228.194872147964,2122.1454399897293
3303.3312886702865,770.6730168378172
6537.159384117587,1518.1960294679923
2916.519426817468,678.1962747131578
9636.359223735239,2214.3972645653166
7551.815319880643,1750.3499468112118
5358.254906093693,1246.1725472857402
6300.013487581122,1455.4529032148882
7536.129785254949,1746.2294686832865
5040.840495758305,1172.0380432629659
5046.450694914664,1172.0380432629659
6594.247245313937,1526.5472303369831
6132.981350968842,1421.5480502415667
2376.4050923437744,557.1142088566927
8661.166682634093,1996.9812922534975
2103.903649209638,493.4914495763304
3276.0210774013067,766.5853291700416
9738.255416395157,2234.189479998941
6105.022477623131,1413.149314355298
9048.02603197534,2086.1054145809144
6297.963736787121,1455.4529032148882
3039.010195538213,703.6606471182265
1854.3617547153628,431.22242096936264
2433.457343035614,565.3712566424629
7542.154470186069,1746.2294686832865
1959.5071862641444,460.48619631029777
3966.6345804281227,923.4012294433724
9267.174785404784,2134.1888012790664
288.3521364121223,93.49199739565977
879.7033017317631,218.20511318251133
7941.394840916904,1836.4154219043344
1284.4598367395008,307.99602743570654
2520.148501601087,586.558218012642
3345.0823570965563,778.9505666588844
7260.334442943877,1684.3942129439527
1533.772849440744,361.5871292378215
5106.550446853181,1184.4423663883415
1704.871081247922,402.1039179102601
267.97966628314896,86.19800496485541
6072.893606207221,1404.7105340538196
6708.471692363888,1555.844846917944
8805.430737573952,2025.4528469108825
7179.71934496175,1663.6844191719329
9585.384915428294,2198.378020992317
4848.007887636515,1126.5272809783314
3072.1236185863113,712.2283392271044
3489.4700748947566,807.865878159503
1680.5316111457546,393.8098254123983
3093.845272173676,720.7690562902881
1002.1667325894509,239.3129668925001
1005.1667325894509,243.65053862488415
6828.349170246881,1580.8999940708802
7704.591375335289,1779.2120091275353
1455.6963795992317,341.0491566647054
4365.840842799465,1014.595010615943
5064.05567768042,1176.2053312168225
9159.779737586876,2106.113771551114
7980.9630192398945,1848.6066379012475
1977.8112037616922,460.48619631029777
3849.8317009163225,894.421753275507
834.6856814507516,210.126517392221
927.5482919026058,226.22730073009913
4782.27993807106,1114.1249539115956
6435.15033397433,1488.849182169726
8613.70398775427,1988.879324039421
7284.134458659113,1688.488911452386
2157.022519246439,505.8243125656335
5499.701864944446,1279.513315990745
6822.7979153587075,1576.739470183154
3588.175373751972,836.778375384798
9714.888340370926,2234.189479998941
7452.7657672646055,1725.6053973264357
8148.186656373821,1885.0409908618346
5886.694194941263,1366.9570853923688
8127.57030936561,1881.0019638024662
7740.040763263303,1795.585293022913
4662.448509577268,1081.305843037773
5709.614238661393,1325.400340765364
3246.61253505604,758.4144639378424
5031.074410122407,1172.0380432629659
9126.834826324686,2102.096500919864
8250.755861265925,1913.0709023584868
1806.4819570857978,427.1242263771513
7128.0679888087425,1651.3604431115136
6648.11746022673,1534.9448995068653
5583.988731653386,1292.009962519483
9060.495026088729,2086.1054145809144
9273.825317420631,2134.1888012790664
1746.1648383067402,410.33730825678265
4584.935785604377,1064.684679907933
4671.631475368145,1085.454171885847
4845.523992363423,1126.5272809783314
6702.598951348083,1555.844846917944
2415.5480576815994,565.3712566424629
2817.1756753253035,653.1910190420685
4710.016847839519,1097.7087603861671
8892.730294140958,2053.8024060350353
912.3298896809043,221.90540679668604
5967.111919065969,1383.605194180351
2991.6635996333293,695.1165139522708
1791.0986820767357,418.72853239789595
6717.9199659336655,1555.844846917944
5262.562285806746,1221.6852214050282
171.52823614677453,63.88068835951623
2472.159709264134,578.0798917060272
9948.054239525769,2285.3962716594797
9366.40228960874,2154.2292858826927
4431.370941924079,1031.2387836825403
720.0608600610151,186.7342483715109
4545.473480308088,1052.153515993608
3429.6358357350005,795.2897157408335
8577.51497212605,1976.8896161769
7908.388266057008,1828.265954367211
7773.179006399479,1799.696805018634
9213.460773545135,2122.1454399897293
5274.537894951189,1229.8707316987739
1587.0191545119142,377.4481591796346
9594.949414887742,2202.3958283418365
7752.4408957844225,1795.585293022913
9738.441018681959,2238.164734659173
6282.257869547254,1451.1752072086317
2511.69422666906,586.558218012642
2436.598692169303,565.3712566424629
8730.190746746437,2009.157357175454
4488.626754349957,1043.7504786548018
9492.93120241644,2182.3620880874973
7008.811303638088,1626.5802536775607
4518.9770026439355,1047.9361334266935
7668.371152549607,1775.0888096673448
1830.6266601099808,431.22242096936264
3957.765952780923,915.1181967014799
273.84995760817645,89.4457698547513
2160.475065649834,505.8243125656335
4455.0322405356455,1031.2387836825403
4749.739296193914,1101.7767547738104
1050.2378570629387,259.7645883968361
7221.497966926177,1667.845592214338
822.9174068309312,202.3031211827017
1521.1259164054209,357.5177224719586
2217.808018049092,518.6118862421118
1050.260540888867,259.7645883968361
4395.47653432298,1022.9566718092038
5190.242434421515,1205.1610525235988
1446.247073247671,341.0491566647054
6444.81812313702,1497.2234876505922
8130.170473335253,1881.0019638024662
6672.492266026464,1543.3451813747993
9156.763450717133,2106.113771551114
7992.256666300211,1852.6711878586052
1344.4026103590957,320.12584275416555
2868.477456497605,669.9458396136217
4749.211315714934,1101.7767547738104
2937.4410567732966,682.4049806307711
6090.2608225546155,1408.9587782117846
7614.491267389828,1758.6518629622844
804.5095053807164,202.3031211827017
4272.136687311566,993.6994229419212
7197.374344179742,1663.6844191719329
9312.051560186244,2142.247113385372
3360.930651732551,787.1577975369349
9885.97986732229,2265.755986595931
5289.707758040869,1233.9427247636638
2145.6061549368037,505.8243125656335
1242.0546091344713,299.94172870177795
5250.3125572076415,1217.5979898476605
6723.068518539985,1555.844846917944
975.0355739215031,234.98305122799562
1980.4260166793347,460.48619631029777
2796.52300991024,653.1910190420685
3606.928142828086,840.8139220546984
4575.81516790205,1060.5643051872225
873.2641503711329,218.20511318251133
6606.4272295445035,1526.5472303369831
9570.177308243881,2198.378020992317
5205.453915040878,1205.1610525235988
8799.097696918825,2025.4528469108825
4422.274658026339,1031.2387836825403
3084.734741318089,716.4932419399531
6168.912793866659,1425.8379595753454
6186.149586878725,1430.083062095044
1365.8654410759943,320.12584275416555
5769.751001579936,1337.778553819834
8562.425620076496,1976.8896161769
1071.0561510372663,263.7280760180894
6156.273583484029,1421.5480502415667
3267.873807171999,766.5853291700416
8487.063487400703,1960.8953223934602
66.20418189525809,39.17367335397432
5469.842159281358,1271.1950275685297
8070.520316948323,1864.8209629880732
5655.7412643389935,1312.8717211824603
1221.699892960431,295.9608686155768
8796.810095480852,2025.4528469108825
3891.989562479937,902.7324743787174
6588.6924115093525,1522.340343358309
6387.280381969409,1484.6996952529985
1368.5499158649702,320.12584275416555
5367.564531478084,1246.1725472857402
6666.329620611158,1539.1405369958575
8808.560989142892,2029.5343445835206
6813.596988270278,1576.739470183154
5208.5404895684505,1205.1610525235988
8064.247066039318,1864.8209629880732
2850.125114297022,665.8109578582789
9888.053214217802,2269.7206035566264
2853.5856418836784,665.8109578582789
1425.3698693040703,336.84616154665775
8358.518734495892,1937.030887267145
6996.855127709961,1622.443850953506
960.4903709817742,230.6267923713518
4647.218574278528,1081.305843037773
8961.786432724473,2069.9556032122473
8523.461048159343,1968.9062406004653
9738.544959726394,2238.164734659173
3333.293032350435,778.9505666588844
8178.53342955865,1893.0810058165287
9633.359223735239,2214.3972645653166
693.6218497956321,179.42022185864437
7860.117885418962,1824.2223120552108
8124.57030936561,1876.9569005164597
3426.5096914211626,795.2897157408335
594.5166252759154,156.26256391271673
6141.639108930627,1421.5480502415667
5028.074410122407,1167.9200222695715
7125.160623394212,1651.3604431115136
3897.3081393815046,902.7324743787174
6651.11746022673,1539.1405369958575
330.08335585589236,100.33320888700916
3210.8215122458428,754.3253660678818
4008.202027992681,931.591929076726
4224.287835306827,981.2273377694512
7773.521013158843,1799.696805018634
216.1251575228823,73.89318605378021
9270.174785404784,2134.1888012790664
2328.3197378253726,544.3668390501581
5901.710255418998,1371.0936665352353
5322.924770598699,1238.0019754065258
2634.508332021952,611.5464184986942
3432.640697865091,795.2897157408335
3192.3053370117154,746.0463023609184
3804.661855769932,881.9122543619935
8637.21095725,1988.879324039421
9717.18986140426,2234.189479998941
8142.695366032359,1885.0409908618346
5553.098136385188,1287.7907434149063
1194.7656632519618,287.70960125930145
4641.3294495952005,1081.305843037773
2241.273321099659,522.8630874880917
3402.7693446111616,795.2897157408335
3417.492227379851,795.2897157408335
6339.291367297704,1472.2566142587962
8376.181340504787,1941.0085041322068
2652.4257321883715,615.8052528364327
5493.672879116356,1275.3451484337807
7719.014986972281,1787.4196547590939
465.06435374166125,127.0441159900348
543.3443509478554,145.74099216559563
9024.446012327595,2082.1009252973013
9069.088516604392,2086.1054145809144
2634.556975702303,611.5464184986942
7980.441954150192,1848.6066379012475
1230.9456440447757,295.9608686155768
2895.6250151000313,678.1962747131578
7644.80591894653,1771.0147214580356
6333.05681001138,1472.2566142587962
5001.494897110855,1163.8301393574711
3264.3884955824956,762.4929202840302
4233.070040897919,981.2273377694512
8022.884165276912,1856.7412770325764
9306.544318458004,2138.221277128164
1512.2118599105104,357.5177224719586
3939.873770675117,915.1181967014799
9660.461655703888,2222.346810154711
5751.940570241799,1337.778553819834
6573.44759727877,1522.340343358309
2454.5600481081547,569.634481218916
5031.192800799056,1172.0380432629659
342.24667359495595,104.9473026050677
5058.32176490308,1172.0380432629659
2292.51940356714,535.8398444303416
933.7797244660579,226.22730073009913
3306.3312886702865,770.6730168378172
3327.7502532541516,774.8816902133095
5934.404928217922,1375.244715643387
3240.4487671197876,758.4144639378424
6834.204803140365,1580.8999940708802
7272.461626218487,1684.3942129439527
2640.260921737777,615.8052528364327
5763.573756456399,1337.778553819834
4785.983996258335,1114.1249539115956
603.9212973866495,156.26256391271673
4197.07431013761,977.1107769913992
8118.921973065164,1876.9569005164597
6165.838805177267,1421.5480502415667
4446.131225514219,1031.2387836825403
3033.4742184761044,703.6606471182265
8499.153643374035,1960.8953223934602
7827.202323647783,1811.9333905455278
3042.010195538213,707.9352709880062
6690.3582892140075,1551.6864902713635
2670.974650552806,624.1719999022877
4122.299697164583,960.4761586877562
9753.612319111318,2242.107319940075
1419.7980119995218,336.84616154665775
3090.3369556027246,716.4932419399531
1068.1554816824062,263.7280760180894
585.3204490004331,156.26256391271673
5475.326754012939,1271.1950275685297
2022.057392875619,477.13396640358434
6720.068518539985,1555.844846917944
3348.0823570965563,783.1132185462678
1437.3714870279805,336.84616154665775
4287.173694260905,993.6994229419212
6249.039788049776,1451.1752072086317
5385.720785960283,1246.1725472857402
9843.810177784626,2257.870410957431
3801.5660811649095,881.9122543619935
4713.892227650362,1097.7087603861671
7221.4958102801065,1667.845592214338
5895.767224327983,1366.9570853923688
7179.885253334049,1663.6844191719329
9684.710790997095,2226.2978335972102
1086.7421521641124,267.6474524929414
1845.4050619494678,431.22242096936264
1188.4293966838254,287.70960125930145
9597.949414887742,2202.3958283418365
4971.017085695374,1155.62066621876
4029.892273090978,935.7115228695515
5826.854285076921,1354.435415955685
7098.167672974257,1643.0797433997016
7392.855880180444,1709.0957545647739
18.48288609135221,0.0
1815.8069525969067,427.1242263771513
